"Year",0,6,12,18,24,30,36,42,48,52,60,66
2010,0.914,0,0,0,0,0,0,0,0,0,0,0
2020,0.912,0.052,0,0,0,0,0,0,0,0,0,0
2030,0.756,0.232,0.004,0,0,0,0,0,0,0,0,0
2040,0.503,0.419,0.073,0.002,0,0,0,0,0,0,0,0
2050,0.209,0.485,0.258,0.043,0.003,0,0,0,0,0,0,0
2060,0.076,0.319,0.386,0.167,0.047,0.004,0,0,0,0,0,0
2070,0.022,0.143,0.31,0.294,0.146,0.07,0.015,0,0,0,0,0
2080,0.005,0.06,0.169,0.249,0.236,0.148,0.082,0.039,0.01,0.002,0,0
2090,0.002,0.021,0.083,0.142,0.207,0.195,0.155,0.091,0.037,0.043,0.019,0.005
2100,0.001,0.007,0.043,0.08,0.125,0.175,0.179,0.129,0.07,0.094,0.038,0.059
