"Year",0,6,12,18,24,30,36,42,48,52,60,66
2010,0.903,0,0,0,0,0,0,0,0,0,0,0
2020,0.876,0.066,0,0,0,0,0,0,0,0,0,0
2030,0.706,0.255,0.013,0,0,0,0,0,0,0,0,0
2040,0.453,0.441,0.093,0.005,0,0,0,0,0,0,0,0
2050,0.183,0.474,0.28,0.054,0.005,0,0,0,0,0,0,0
2060,0.064,0.294,0.39,0.185,0.06,0.006,0,0,0,0,0,0
2070,0.021,0.132,0.297,0.291,0.163,0.076,0.019,0.001,0,0,0,0
2080,0.006,0.056,0.162,0.246,0.234,0.155,0.086,0.041,0.011,0.003,0,0
2090,0.002,0.021,0.086,0.144,0.211,0.197,0.15,0.087,0.035,0.044,0.019,0.004
2100,0.001,0.009,0.047,0.084,0.136,0.175,0.173,0.129,0.067,0.085,0.038,0.056
