"Year",0,6,12,18,24,30,36,42,48,52,60,66
2010,0.887,0,0,0,0,0,0,0,0,0,0,0
2020,0.925,0.042,0,0,0,0,0,0,0,0,0,0
2030,0.749,0.241,0.004,0,0,0,0,0,0,0,0,0
2040,0.393,0.517,0.085,0.003,0,0,0,0,0,0,0,0
2050,0.097,0.437,0.378,0.08,0.007,0,0,0,0,0,0,0
2060,0.013,0.139,0.362,0.311,0.13,0.042,0.003,0,0,0,0,0
2070,0.001,0.024,0.135,0.246,0.251,0.175,0.103,0.048,0.013,0.004,0,0
2080,0,0.002,0.028,0.098,0.169,0.201,0.169,0.114,0.062,0.09,0.045,0.022
2090,0,0,0.003,0.02,0.068,0.115,0.158,0.149,0.087,0.122,0.075,0.203
2100,0,0,0,0.002,0.014,0.044,0.082,0.108,0.08,0.158,0.111,0.401
