Year,0,25,50,75,100,125,150,175,200,500,0,0
2010,0.908,0,0,0,0,0,0,0,0,0,0.908,12.886
2020,0.973,0,0,0,0,0,0,0,0,0,0.973,23.563
2030,0.942,0.049,0,0,0,0,0,0,0,0,0.991,37.428
2040,0.792,0.2,0.001,0,0,0,0,0,0,0,0.993,54.457
2050,0.582,0.381,0.031,0,0,0,0,0,0,0,0.994,70.659
2060,0.384,0.511,0.097,0.004,0,0,0,0,0,0,0.996,85.12
2070,0.247,0.523,0.197,0.031,0,0,0,0,0,0,0.998,101.85
2080,0.161,0.468,0.287,0.075,0.007,0,0,0,0,0,0.998,119.88
2090,0.111,0.391,0.336,0.126,0.033,0.001,0,0,0,0,0.998,138.82
2100,0.085,0.317,0.332,0.183,0.069,0.012,0,0,0,0,0.998,159.92
